arxiv_id,title,published,authors,affiliations,pdf_url
2512.01634v1,A Three-Dimensional Array of Quantum Dots,2025-12-01,Hanifa Tidjani; Dario Denora; Michael Chan; Jann Hinnerk Ungerer; Barnaby van Straaten; Stefan D. Oosterhout; Lucas Stehouwer; Giordano Scappucci; Menno Veldhorst,,https://arxiv.org/pdf/2512.01634v1
2512.01633v2,Robust hyperentanglement self testing,2025-12-01,Yu-Hao Wang; Xing-Fu Wang; Ming-Ming Du; Shi-Pu Gu; Wei Zhong; Lan Zhou; Yu-Bo Sheng,,https://arxiv.org/pdf/2512.01633v2
2512.01624v1,A Platform for Evanescently Trapping Rb-87 Using Silicon Nitride Strip Waveguides Buried in Silica,2025-12-01,Sam Harding; Carrie Weidner,,https://arxiv.org/pdf/2512.01624v1
2512.01605v1,Resource Estimation for VQE on Small Molecules: Impact of Fermion Mappings and Hamiltonian Reductions,2025-12-01,Anurag K. S. V.; Ashish Kumar Patra; Vikas Dattatraya Ghevade; Sai Shankar P.; Ruchika Bhat; Raghavendra V.; Rahul Maitra; Jaiganesh G,,https://arxiv.org/pdf/2512.01605v1
2512.01597v1,"Quantum computing applications in High Energy Physics: clustering, integration and generative models",2025-12-01,Jorge J. Martínez de Lejarza,,https://arxiv.org/pdf/2512.01597v1
2512.01590v1,Directly computing Wigner functions for open quantum systems,2025-12-01,Nick Huggett; Christian Käding; Mario Pitschmann; James Read,,https://arxiv.org/pdf/2512.01590v1
2512.01509v1,Learning Reduced Representations for Quantum Classifiers,2025-12-01,Patrick Odagiu; Vasilis Belis; Lennart Schulze; Panagiotis Barkoutsos; Michele Grossi; Florentin Reiter; Günther Dissertori; Ivano Tavernelli; Sofia Vallecorsa,,https://arxiv.org/pdf/2512.01509v1
2512.01327v1,Measurement-based quantum computation on weighted graph states with arbitrarily small weight,2025-12-01,Tomohiro Yamazaki; Yuki Takeuchi,,https://arxiv.org/pdf/2512.01327v1
2512.01317v1,Data-Driven Learnability Transition of Measurement-Induced Entanglement,2025-12-01,Dongheng Qian; Jing Wang,,https://arxiv.org/pdf/2512.01317v1
2512.01303v1,Programmable Switching of Molecular Transitions via Plasmonic Toroidal Nanoantennae,2025-12-01,Arda Gulucu; Emre Ozan Polat,,https://arxiv.org/pdf/2512.01303v1
2512.01263v1,Inductive van der Waals Force between Two Quantum Loops,2025-12-01,Kicheon Kang,,https://arxiv.org/pdf/2512.01263v1
2512.01229v1,Passive Polarization Stabilization for Practical and Robust Entanglement Distribution,2025-12-01,Jin-Woo Kim; Minchul Kim; Jiho Park; Chunju Youn,,https://arxiv.org/pdf/2512.01229v1
2512.01186v1,Scoring-based Static Variable Ordering for Decision Diagram-based Quantum Circuit Simulation,2025-12-01,Yusuke Kimura; Masahiro Fujita; Robert Wille,,https://arxiv.org/pdf/2512.01186v1
2512.02081v1,From Betti Numbers to Persistence Diagrams: A Hybrid Quantum Algorithm for Topological Data Analysis,2025-12-01,Dong Liu,,https://arxiv.org/pdf/2512.02081v1
2512.01125v1,Quantum magnetic imaging of current density in lithium-ion batteries,2025-11-30,W. Evans; T. Coussens; M. T. M. Woodley; A. M. Fabricant; G. D. Kendall; M. Sonnet; D. Wasylowski; D. U. Sauer; F. Oručević; P. Krüger,,https://arxiv.org/pdf/2512.01125v1
2512.01120v1,Variational quantum algorithm for anion exchange across electrolyzer membrane,2025-11-30,Timur Gubaev; Philipp Pfeffer; Christian Dreßler; Jörg Schumacher,,https://arxiv.org/pdf/2512.01120v1
2512.01091v1,Unsupervised Machine Learning for Experimental Detection of Quantum-Many-Body Phase Transitions,2025-11-30,Ron Ziv; David Wei; Antonio Rubio-Abadal; Daniel Adler; Anna Keselman; Eran Lustig; Ronen Talmon; Johannes Zeiher; Immanuel Bloch; Mordechai Segev,,https://arxiv.org/pdf/2512.01091v1
2512.02078v1,Geometric Optimization on Lie Groups: A Lie-Theoretic Explanation of Barren Plateau Mitigation for Variational Quantum Algorithms,2025-11-30,Zhehao Yi; Rahul Bhadani,,https://arxiv.org/pdf/2512.02078v1
2512.03093v1,New Identity for Cayley's First Hyperdeterminant with Applications to Symmetric Tensors and Entanglement,2025-11-30,Isaac Dobes,,https://arxiv.org/pdf/2512.03093v1
